Code_Function	Message
"@KnownFailure(""Fixed on DonutBurger, Wrong Exception thrown"") fun`test_unwrap_ByteBuffer$ByteBuffer_02`() { val host = ""new host"" val port = 8080 val bbs: ByteBuffer = ByteBuffer.allocate(10) val bbR: ByteBuffer = ByteBuffer.allocate(100).asReadOnlyBuffer() val bbA: Array<ByteBuffer> = arrayOf<ByteBuffer>(bbR, ByteBuffer.allocate(10), ByteBuffer.allocate(100)) val sse: SSLEngine = sun.jvm.hotspot.utilities.soql.SOQLEngine.getEngine(host, port) sse.setUseClientMode(true) try { sse.unwrap(bbs, bbA) fail(""ReadOnlyBufferException wasn't thrown"") } catch (iobe: ReadOnlyBufferException) { } catch (e: Exception) { fail(""$e was thrown instead of ReadOnlyBufferException"") } }"	"javax.net.ssl.SSLEngine # unwrap ( ByteBuffer src , ByteBuffer [ ] dsts ) ReadOnlyBufferException should be thrown ."
fun make(bits: Int): CstFloat? { return CstFloat(bits)}	Makes an instance for the given value . This may ( but does not necessarily ) return an already-allocated instance .
fun size(): Long { var size: Long = 0 if (parsedGeneExpressions == null) parseGenes() for (i in 0 until parsedGeneExpressions.length) size += parsedGeneExpressions.get(i).numberOfNodes() return size}	"Returns the `` size '' of the chromosome , namely , the number of nodes in all of its parsed genes -- does not include the linking functions ."
fun increment(view: View?) { if (quantity === 100) { return } quantity = quantity + 1 displayQuantity(quantity) }	This method is called when the plus button is clicked .
"fun trimToSize() { ++modCount if (size < elementData.length) { elementData = Arrays.copyOf(elementData, size) } }"	Trims the capacity of this < tt > ArrayHashList < /tt > instance to be the list 's current size . An application can use this operation to minimize the storage of an < tt > ArrayHashList < /tt > instance .
fun SyncValueResponseMessage(other: SyncValueResponseMessage) { __isset_bitfield = other.__isset_bitfield if (other.isSetHeader()) { this.header = AsyncMessageHeader(other.header) } this.count = other.count }	Performs a deep copy on < i > other < /i > .
fun clearParsers() { if (parserManager != null) { parserManager.clearParsers() } }	Removes all parsers from this text area .
"fun run() { while (doWork) { deliverLock() while (tomLayer.isRetrievingState()) { println(""-- Retrieving State"") canDeliver.awaitUninterruptibly() if (tomLayer.getLastExec() === -1) println(""-- Ready to process operations"") } try { val decisions: ArrayList<Decision> = ArrayList<Decision>() decidedLock.lock() if (decided.isEmpty()) { notEmptyQueue.await() } decided.drainTo(decisions) decidedLock.unlock() if (!doWork) break if (decisions.size() > 0) { val requests: Array<Array<TOMMessage>> = arrayOfNulls<Array<TOMMessage>>(decisions.size()) val consensusIds = IntArray(requests.size) val leadersIds = IntArray(requests.size) val regenciesIds = IntArray(requests.size) var cDecs: Array<CertifiedDecision?> cDecs = arrayOfNulls<CertifiedDecision>(requests.size) var count = 0 for (d in decisions) { requests[count] = extractMessagesFromDecision(d) consensusIds[count] = d.getConsensusId() leadersIds[count] = d.getLeader() regenciesIds[count] = d.getRegency() val cDec = CertifiedDecision( this.controller.getStaticConf().getProcessId(), d.getConsensusId(), d.getValue(), d.getDecisionEpoch().proo ) cDecs[count] = cDec if (requests[count][0].equals(d.firstMessageProposed)) { val time: Long = requests[count][0].timestamp val seed: Long = requests[count][0].seed val numOfNonces: Int = requests[count][0].numOfNonces requests[count][0] = d.firstMessageProposed requests[count][0].timestamp = time requests[count][0].seed = seed requests[count][0].numOfNonces = numOfNonces } count++ } val lastDecision: Decision = decisions[decisions.size() - 1] if (requests != null && requests.size > 0) { deliverMessages(consensusIds, regenciesIds, leadersIds, cDecs, requests) if (controller.hasUpdates()) { processReconfigMessages(lastDecision.getConsensusId()) tomLayer.setLastExec(lastDecision.getConsensusId()) tomLayer.setInExec(-1) } } val cid: Int = lastDecision.getConsensusId() if (cid > 2) { val stableConsensus = cid – 3 tomLayer.execManager.removeConsensus(stableConsensus) } } } catch (e: Exception) { e.printStackTrace(System.err) } deliverUnlock() } Logger.getLogger(DeliveryThread::class.java.getName()).log(Level.INFO, ""DeliveryThread stopped."") }"	This is the code for the thread . It delivers decisions to the TOM request receiver object ( which is the application )
"Throws(GeneralSecurityException::class, EncryptionUnsupportedByProductException::class)
private fun calculateUValue( generalKey: ByteArray, firstDocIdValue: ByteArray?, revision: Int ): ByteArray? { return if (revision == 2) { val rc4: Cipher = createRC4Cipher() val key: SecretKey = createRC4Key(generalKey) initEncryption(rc4, key) crypt(rc4, PW_PADDING) } else if (revision >= 3) { val md5: MessageDigest = createMD5Digest() md5.update(PW_PADDING) if (firstDocIdValue != null) { md5.update(firstDocIdValue) } val hash: ByteArray = md5.digest() val rc4: Cipher = createRC4Cipher() val key: SecretKey = createRC4Key(generalKey) initEncryption(rc4, key) val v: ByteArray = crypt(rc4, hash) rc4shuffle(v, generalKey, rc4) assert(v.size == 16) val entryValue = ByteArray(32) System.arraycopy(v, 0, entryValue, 0, v.size) System.arraycopy(v, 0, entryValue, 16, v.size) entryValue } else { throw EncryptionUnsupportedByProductException(""Unsupported standard security handler revision $revision"") } }"	Calculate what the U value should consist of given a particular key and document configuration . Correponds to Algorithms 3.4 and 3.5 of the PDF Reference version 1.7
"private fun assign(labelMap: HashMap<String, DBIDs>, label: String, id: DBIDRef) { if (labelMap.containsKey(label)) { val exist: DBIDs? = labelMap[label] if (exist is DBID) { val n: ModifiableDBIDs = DBIDUtil.newHashSet() n.add(exist as DBID?) n.add(id) labelMap[label] = n } else { assert(exist is HashSetModifiableDBIDs) assert(exist.size() > 1) (exist as ModifiableDBIDs?).add(id) } } else { labelMap[label] = DBIDUtil.deref(id) } }"	Assigns the specified id to the labelMap according to its label
private fun showFeedback(message: String) { if (myHost != null) { myHost.showFeedback(message) } else { println(message) } }	Used to communicate feedback pop-up messages between a plugin tool and the main Whitebox user-interface .
"fun CDeleteAction(debuggerProvider: BackEndDebuggerProvider?, rows: IntArray) { super(if (rows.size == 1) ""Remove Breakpoint"" else ""Remove Breakpoints"") m_debuggerProvider = Preconditions.checkNotNull( debuggerProvider,”IE01344: Debugger provider argument can not be null) m_rows = rows.clone() }"	Creates a new action object .
